OrderID,OrderDate,Customer Name,Product,Quantity,Unit Price,Sales Rep,Region,Order Status
1,1/1/2024,john doe,Office Chair,2,150,emma stone,EAST,Completed
2,2/1/2024,John Doe ,office chair ,1,,Emma Stone ,East,completed 
3,3/1/2024,MARY SMITH,Desk,3,300,LIAM JONES,West,Completed
4,1/4/2024,alex brown,Laptop,five,800,Noah White,Wst,Pending
5,5/1/2024,Alex Brown ,Mouse,2,20,olivia king,South,Completed
6,6/1/2024,susan lee,Keyboard,,50,Emma Stone ,North,Cancelled
7,7/1/2024,Susan Lee,Monitor,4,,LIAM JONES,EAST,Completed
8,1/8/2024,john doe,Desk,1,300,emma stone,eastern,Pending
9,9/1/2024,MARY SMITH,Laptop,2,800,Noah White,West,Completed
10,1/10/2024,alex brown,Office Chair,3,150,olivia king,South,completed 
11,11/1/2024,Alex Brown ,Mouse,1,20,Emma Stone ,East,Completed
12,12/1/2024,john doe,Keyboard,2,50,LIAM JONES,North,Pending
13,13/01/2024,Susan Lee,Desk,,five,Noah White,Wst,Completed
14,14/1/2024,MARY SMITH,Monitor,3,,emma stone,EAST,Cancelled
15,15-01-2024,alex brown,Laptop,2,800,olivia king,South,Completed
16,16/1/2024,john doe,office chair ,1,150,Emma Stone ,East,Pending
17,17/01/2024,Susan Lee,Mouse,2,20,LIAM JONES,West,Completed
18,18/1/2024,MARY SMITH,Keyboard,five,50,Noah White,North,Completed
19,19-01-2024,alex brown,Desk,4,300,emma stone,eastern,completed 
20,20/1/2024,Alex Brown ,Laptop,,800,olivia king,South,Pending
21,21/1/2024,john doe,Office Chair,3,150,Emma Stone ,EAST,Completed
22,22/01/2024,MARY SMITH,Mouse,1,20,LIAM JONES,Wst,Cancelled
23,23/1/2024,Susan Lee,Monitor,2,,Noah White,West,Completed
24,24-01-2024,alex brown,Keyboard,2,50,emma stone,North,Pending
25,25/1/2024,john doe,Desk,five,300,olivia king,East,Completed
26,26/01/2024,MARY SMITH,Laptop,3,800,Emma Stone ,EAST,completed 
27,27/1/2024,Alex Brown ,Office Chair,1,150,LIAM JONES,South,Completed
28,28-01-2024,Susan Lee,Mouse,,20,Noah White,Wst,Pending
29,29/1/2024,john doe,Keyboard,2,50,emma stone,eastern,Completed
30,30/01/2024,MARY SMITH,Desk,4,300,olivia king,West,Cancelled
31,31/1/2024,alex brown,Laptop,1,,Emma Stone ,North,Completed
32,2/1/2024,Alex Brown ,Monitor,3,800,LIAM JONES,EAST,Pending
33,2/2/2024,john doe,Office Chair,2,150,Noah White,South,Completed
34,2/3/2024,Susan Lee,Mouse,five,20,emma stone,Wst,completed 
